"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"CNDP1",4,44
"FSIP1",17,2537
"DLG2",136,190
"CCDC83",0,16
"RGS18",165,48
"PRSS23",10454,24435
"MTMR12",5421,3370
"PPP1R1C",9,3
"AL136372.1",0,0
"C11orf53",39,4
"CCT5",5913,5035
"ATPSCKMT",740,659
"DOCK1",7134,7757
"DIXDC1",7071,3212
"DLAT",1961,1862
"PIH1D2",42,140
"NKAPD1",1353,1782
"TIMM8B",804,913
"IL18",297,972
"TEX12",6,1
"PTS",333,808
"PIP4K2A",2808,1949
"C2orf50",5,90
"FREM2",97,20
"FOXO1",6251,1752
"CRIM1",24733,8659
"SEC24D",3505,3134
"ABCB9",185,386
"RILPL2",1458,1361
"DHX37",1036,1989
"UBC",37476,40496
"ITPR1",3343,5362
"TKTL2",3,1
"PRSS53",49,41
"SLC7A11",35,200
"NOCT",624,428
"ENKUR",7,20
"GPR158",100,2
"LYZL2",0,1
"CACNA2D4",401,290
"DCP1B",635,1340
"CACNA1C",670,1458
"KCNA6",314,41
"THRB",4280,2178
"NGLY1",1250,1590
"OXSM",314,594
"UEVLD",1775,1825
"TMEM86A",514,895
"C12orf45",490,744
"TMEM263",2166,2621
"BTBD11",171,348
"UBE3B",3248,4608
"ANK3",168,4644
"IPMK",1134,552
"RAD9B",30,51
"PLBD2",11607,4496
"DLG5",2254,13918
"MAT1A",6,67
"SLC2A13",652,355
"GXYLT1",1311,1120
"TWF1",2285,4215
"DIP2C",5315,1939
"EIF4E",1252,1550
"MAGI1",3634,2798
"TEX30",116,146
"CSNK1G3",1951,1757
"AL136982.1",18,5
"SRFBP1",606,719
"AKAP6",483,119
"NPAS3",178,159
"FAM177A1",2186,2418
"MBIP",818,820
"MIPOL1",290,844
"EXT2",5344,3857
"TMEM18",1161,1109
"ALLC",1,2
"KCTD14",24,46
"THRSP",6974,375
"NDUFC2",527,719
"ME3",1879,1698
"MSGN1",0,1
"ADAMTS12",2446,1098
"NUBPL",1230,758
"NEK7",11701,2540
"ATP6V1G3",0,0
"FER",2695,909
"VIPAS39",1330,1218
"ANKRD50",2305,4324
"UPF2",2617,2273
"CDC123",1460,1854
"SCLT1",360,377
"CCDC3",6563,449
"C4orf33",356,690
"FRMD4A",4174,1081
"SLC25A31",0,1
"PTPRO",473,69
"EPS8",11353,3599
"ACAD8",1132,2802
"THYN1",1383,1722
"VPS26B",3237,4709
"NCAPD3",1228,2875
"VTI1A",1344,968
"QDPR",2696,3380
"FAM160B1",3650,1685
"ANO4",71,10
"TEX9",41,444
"QTRT2",886,1519
"DRD3",0,0
"MMAA",434,499
"ZNF827",1059,2869
"POU4F2",0,0
"EDNRA",826,835
"NR3C2",1382,548
"AKR1C6P",2,1
"AKR1C2",17791,60
"DPYSL4",8,559
"VENTX",203,67
"ADAM8",220,624
"ITIH2",8,104
"KIN",538,606
"PIGF",292,315
"ANKAR",146,178
"INPP1",1115,694
"MFSD6",2335,4565
"RNF144A",2004,897
"ASAP2",3146,1196
"ADAM17",1882,2028
"FLI1",4113,615
"KCNJ1",21,6
"TMEM45B",13,1642
"WWC2",2847,3142
"CENPU",77,431
"ACSL1",54396,4497
"SLC25A4",1483,1629
"AMN1",141,215
"BICD1",564,681
"SAV1",2742,2244
"CCDC122",113,303
"SERP2",62,244
"NBAS",3521,2511
"ZNF385D",913,426
"TDO2",5,13
"GUF1",1268,1454
"SLC35F4",0,5
"GABRA2",347,11
"SACS",1768,829
"CCDC175",1,5
"PABPC3",55,18
"CENPJ",493,521
"FBXO4",506,832
"TMEM267",389,704
"CCL28",160,910
"PARP8",1010,883
"GFRA1",2915,5089
"CACUL1",3196,4389
"DST",25329,31786
"BEND6",220,54
"TIAL1",3112,4358
"BAG3",4139,3681
"GLT1D1",23,13
"TMEM132D",0,1
"RBM46",2,6
"ZNF37CP",0,2
"SCHIP1",60,99
"MCHR2",1,0
"KCNE4",445,1961
"AP1S3",25,320
"RABGAP1L",2446,2199
"CCDC74B",24,986
"TLCD4",1798,647
"MZT2B",379,1267
"TUBA3E",2,694
"ASTN1",15,104
"CFC1B",0,0
"FAM168B",9546,6317
"PTPN14",5355,4043
"SMPD4BP",852,4499
"MGAT5",4603,3388
"TMEM163",74,162
"GPATCH11",1898,501
"HSPB8",4306,3463
"GEMIN6",488,457
"TMEM178A",108,236
"POU4F1",1,0
"OBI1",524,346
"CYSLTR2",288,38
"GRID2",0,0
"ARL11",192,64
"RIT2",0,1
"SETBP1",2695,1905
"ARL14EP",1399,1305
"EPG5",2887,2577
"PSTPIP2",220,1074
"ATP5F1A",17817,18973
"HAUS1",448,679
"C18orf25",1347,1864
"SPC25",22,138
"G6PC2",1,4
"PDK1",1028,725
"PTH",0,0
"PDE3B",8130,122
"TCF7L1",3237,1418
"TGOLN2",26243,21333
"SH2D6",0,5
"KCNK13",101,40
"UHMK1",7674,10319
"ATG10",372,467
"POC5",333,642
"SPOCK1",4255,1517
"FAM151B",68,92
"TADA1",493,1094
"GUCY1A2",2477,1940
"CWF19L2",1262,878
"JMY",1937,1781
"HOMER1",187,1054
"XRCC4",311,353
"BOLL",0,2
"ZNF547",54,117
"ZNF773",235,271
"ZNF776",607,1298
"ZNF256",205,315
"SUV39H2",225,336
"DCLRE1C",849,780
"OLAH",15,5
"RPP38",231,330
"NMT2",4842,515
"ZSCAN1",7,52
"ZNF837",58,272
"USP12",2636,2245
"CCDC50",9578,3940
"CAMK4",60,138
"TRIM36",71,376
"ZFP36L2",14024,16063
"PAN3",2384,3493
"PLEKHH2",1498,989
"PFKM",1501,1829
"TMEM123",7299,11664
"GRIA4",11,352
"IGSF10",1653,318
"SPEF2",209,1230
"SPARCL1",41675,20231
"DSPP",0,0
"DMP1",1,1
"MEPE",0,1
"MBNL1",17530,5404
"CAPSL",0,12
"NADK2",1127,1673
"GPD1L",3556,3657
"GJA1",9198,7672
"CCNO",12,967
"DDX4",2,0
"CLEC4F",53,141
"SLC30A6",1926,1283
"PELO",1116,961
"RASGRP3",869,305
"SAR1B",3335,3324
"CATSPER3",10,30
"GPR180",2007,595
"TCTEX1D1",41,30
"DNAI4",138,493
"ANKRD22",3,496
"FARP1",2745,9758
"IFIT5",1363,710
"SLC16A12",10,1302
"PANK1",206,419
"PRDM8",275,70
"BMP3",174,17
"HNRNPDL",8244,15764
"HHEX",844,390
"UTRN",27308,5165
"GRM1",9,2
"PTPRK",2353,6627
"GGPS1",650,1636
"CNTNAP4",4,2
"ZNF117",2914,2846
"PART1",18,85
"RAB3C",783,62
"LMNTD1",1,0
"MARVELD2",49,1227
"RAD17",1194,1527
"MED21",1230,1607
"PLOD2",7666,2430
"STK32B",1155,1168
"NRSN1",1,4
"JAKMIP1",1,7
"ZIC1",0,4
"ADGRA3",1903,1777
"CPB1",57,187
"SREK1IP1",1539,953
"LGI2",1779,120
"CWC27",1096,969
"MR1",2995,2486
"SRP19",557,623
"CENPH",116,341
"CDYL",1735,1771
"CARHSP1",1259,1586
"TEKT5",2,61
"BANK1",797,95
"TXNDC11",2176,3590
"DAB2",21113,2915
"ACMSD",10,27
"ACOXL",226,155
"BCL2L11",752,2993
"ANAPC1",1183,1124
"CAST",18973,7155
"SCOC",2330,4620
"CLGN",7,611
"CETN3",531,588
"SMARCA5",4928,5940
"SYCP2L",15,22
"BMP6",2036,240
"RGPD3",18,10
"RASSF3",5087,1749
"HNRNPU",19328,30600
"RANBP2",7846,6867
"AHCTF1",3912,3207
"MERTK",2839,573
"TMEM87B",1924,4079
"OR14K1",1,4
"PTPRR",31,45
"NR4A2",1450,796
"CCDC148",6,83
"PLA2R1",1995,1405
"RBMS1",9142,3566
"SCN3A",131,132
"FEZF2",0,2
"CD96",294,190
"SLC25A27",342,378
"ADGRF1",16,32
"ADGRF4",1,30
"FRMD1",1294,28
"CYRIB",2950,2242
"ASAP1",4916,2416
"TRAPPC8",3259,2650
"FAM81B",3,43
"LINC00467",267,719
"INO80C",380,309
"LPCAT1",2443,4300
"PLEKHG4B",7,1500
"NMRAL1",717,3307
"UBALD1",720,2476
"C16orf89",496,994
"TMEM251",273,308
"ING1",710,888
"TEX29",8,6
"SPACA7",0,0
"ADPRHL1",177,420
"CMTM7",957,915
"FBXL2",357,862
"UBP1",3446,5064
"RMND5A",5155,2981
"CD8A",106,348
"RPIA",1017,1007
"GOLGA8F",0,0
"PTPRD",623,154
"LURAP1L",911,2542
"CNKSR3",267,1037
"GTF2E1",698,612
"CFDP1",1327,957
"TGIF2LX",0,0
"ZDHHC7",4617,3066
"CIBAR2",0,18
"C7orf31",310,152
"TMPRSS11D",2,4
"JAZF1",1662,615
"CMIP",4658,5314
"SPHKAP",1,47
"KCNJ16",49,38
"PID1",2974,162
"TRIP12",13676,10036
"FBXO36",235,717
"CEBPG",3654,1809
"KCTD15",674,2717
"ZNF599",225,411
"MCOLN2",12,148
"LGI4",1461,141
"DDAH1",1433,4400
"SREK1",3291,4941
"CHD1",2779,2678
"CLCA3P",3,1
"ANKFN1",12,67
"DGKE",459,652
"HS2ST1",1684,1333
"MSI2",1168,8728
"CACNA2D1",2611,467
"ZUP1",346,455
"HS3ST3A1",11,48
"GDPD1",180,235
"NUS1",1450,967
"SEMA3D",554,121
"PPP2R5E",2854,2815
"ASB17",0,0
"GRAP",60,23
"SLC5A10",7,8
"AK5",85,1425
"CABYR",33,455
"IMPACT",2527,2742
"ANKRD29",1216,526
"SDHAF4",541,474
"CHST9",3,145
"THY1",6118,3135
"DNAAF1",4,661
"C16orf74",52,333
"TBCEL",1071,919
"JPH3",11,16
"ANKH",5427,6747
"OTULIN",1279,1022
"UBASH3B",328,187
"ROBO4",6430,710
"ROBO3",1085,553
"PANX3",0,0
"TBRG1",1553,1549
"NRGN",304,191
"RETREG1",1927,665
"CDH12",5,10
"GPR15",14,2
"TOMM70",4554,4165
"ABI3BP",21595,1101
"ANGPT1",3323,80
"CYP4Z2P",39,1408
"PITPNC1",1487,634
"CC2D1B",1914,2206
"CERS3",3,21
"PRKCA",1044,321
"LRRK1",2292,1247
"CEP112",1511,290
"GAL3ST2",0,138
"ABCA9",6901,370
"ABCA6",4469,322
"ABCA10",1423,293
"ABCA5",1806,1006
"ENPP3",98,326
"C4orf19",268,83
"UCHL1",2270,177
"MIA3",5588,7464
"DISP1",1139,935
"TNIK",412,1847
"TDH",7,15
"FAM167A",101,104
"NEIL2",1466,1263
"PGM5",3007,352
"WNT3A",0,2
"OBSCN",313,2489
"LONRF1",1624,1546
"TRIM11",512,2030
"ENAH",5758,20322
"PPP1R3A",0,0
"CCSAP",492,715
"ASZ1",0,0
"SH3RF1",1697,3004
"GBP5",233,111
"BUB3",2591,11496
"GPR26",13,8
"CCDC173",6,51
"MMP21",35,55
"C10orf90",85,30
"DIPK1A",2579,576
"ATP5MC3",6806,5408
"CNTNAP3B",161,111
"MAGED4",0,2
"SRSF12",16,39
"PDLIM3",1898,1569
"SORBS2",4154,6213
"ELOC",1318,1520
"LY96",669,109
"CEP170P1",20,8
"PSMA8",4,1
"TMSB4Y",0,0
"CXADR",6,1622
"BTG3",798,726
"C21orf91",936,637
"CHODL",29,41
"TMPRSS15",2,0
"NCAM2",36,377
"L3MBTL4",235,228
"PDE1C",455,647
"RABGEF1",136,135
"MRPL39",748,607
"JAM2",3586,942
"ATP5PF",2117,1627
"GABPA",2629,1455
"ADAMTS1",10462,3032
"ADAMTS5",15689,686
"TSEN2",384,782
"SLFN13",322,1847
"WNT7A",2,0
"XPC",1630,1694
"CCDC174",1071,1051
"FGD5",6443,802
"FLCN",1471,1414
"DPH3",2090,827
"OXNAD1",378,623
"PLCL2",1797,204
"CXXC1",1450,3595
"SKA1",37,66
"PPP4R1",3189,4725
"APCDD1",5706,473
"PIEZO2",343,188
"CCDC144B",133,186
"MPPE1",817,1217
"CCDC144CP",15,20
"USP43",2,955
"RAB6B",1480,299
"EME1",17,84
"EPHB1",130,306
"ACSS1",924,2776
"ANKRD40",8091,1972
"ZNF18",519,513
"CA10",2,3
"VOPP1",2447,1792
"SEPTIN14",0,0
"APOOL",1726,1555
"DKK2",173,107
"CYP2U1",1365,289
"RSPH10B",1,4
"FBXL18",503,551
"CNTNAP5",1,0
"PROM2",35,11455
"UNC93B2",5,16
"AK9",354,574
"ODF1",0,0
"KLF10",8217,6050
"PTPRN2",608,1168
"AZIN1",10081,10110
"ATP6V1C1",3920,2847
"PIP4P2",1024,164
"OTUD6B",453,513
"CDK19",1478,1537
"GTF3C6",1287,1498
"TTC39B",637,668
"AGPAT5",1008,2044
"MMS19",2564,4134
"OR4K1",0,0
"PI4K2A",2111,1259
"MARVELD1",4217,2839
"ZFYVE27",1128,2466
"GOLGA7B",216,397
"GPR78",10,10
"TRMT44",532,1070
"SLC25A28",1507,1467
"HSPA13",1703,1255
"SAMSN1",429,237
"USP25",4305,2820
"GRAMD2B",549,2237
"ZCCHC10",590,548
"C16orf87",350,248
"MOV10",1477,3565
"RHOC",4657,8572
"PPM1J",17,1254
"DBI",5782,6465
"SLC16A1",2210,2834
"HEATR3",1081,750
"TRIM74",6,13
"NIFK",618,1215
"OXA1L",4815,4953
"SLC7A7",1896,424
"MAGEC1",0,7
"LARP1",13282,10045
"CNOT8",3410,3028
"GRIA1",63,51
"LRGUK",26,201
"SETD9",353,340
"MIER3",1142,1339
"NUP205",2850,3403
"ZKSCAN2",357,440
"C9orf85",425,362
"XAGE2",1,0
"PIK3AP1",2834,317
"RBM45",392,734
"TTN",972,281
"VSIG4",12860,742
"PDIA4",5231,11289
"KDM8",152,275
"PDZD9",7,4
"OTOA",51,19
"KCTD18",1207,1222
"FAM126B",1404,969
"FLACC1",37,47
"C2CD6",32,62
"TMEM237",1346,1599
"FZD7",1625,3672
"SPAG17",869,979
"DEPTOR",1317,2691
"FMN2",11,39
"RNF20",3556,2653
"CYLC2",0,0
"PPARGC1B",522,186
"ELMO1",2731,901
"SLC26A2",2398,1185
"LSM11",302,436
"MED7",544,573
"SAXO1",15,14
"RRAGA",4755,3955
"SLC24A2",2,95
"TRIM42",0,0
"PXYLP1",859,1171
"ADCY8",127,6
"RASA2",1173,1458
"RMND1",1119,1109
"RAET1L",0,123
"SLA",1546,1013
"TMBIM4",1046,625
"VBP1",1594,1902
"RAB39B",11,54
"CLIC2",2613,400
"AFF2",144,52
"MICU3",369,127
"GRIP1",122,1144
"VPS37A",1663,1797
"KIF5A",9,161
"NAT2",1,2
"MAGEA8",0,19
"PSD3",2248,7569
"CARNMT1",593,1063
"MCU",1315,857
"MIDEAS",4156,4512
"CFAP70",167,638
"GNA14",198,665
"FAM161B",360,829
"GNAQ",7903,5243
"WIF1",5,2182
"UGT2B4",44,49
"GPR61",1,9
"MMP16",259,352
"ADK",1595,1473
"KCNMA1",1486,3643
"BATF",75,1290
"DCK",1060,911
"ADAMTS3",221,103
"ALX3",0,3
"DPY19L4",1568,1531
"NDUFAF6",307,783
"DRAM2",3366,2456
"C8orf37",206,413
"PPEF2",0,4
"CFAP161",16,17
"ADAMTSL3",2056,221
"ART3",30,10
"SLC28A1",20,1
"WHAMM",943,1233
"CXCL13",0,9282
"N6AMT1",646,882
"RWDD2B",808,1025
"USP16",2788,2695
"CCT8",4003,6992
"MAP3K7CL",201,162
"NAA11",4,0
"BACH1",2663,2422
"CLDN17",0,0
"CLDN8",0,1328
"TSPAN7",1840,467
"TIAM1",1421,1876
"SCAF4",2042,2724
"RPGR",975,887
"CDK20",229,898
"PCGF6",465,363
"ANKRD9",911,1121
"SFR1",293,322
"SORCS3",1,7
"SFXN2",178,1948
"ATP5MPL",1304,1958
"FUT6",0,19
"TDRD9",47,96
"FGF18",159,30
"PCDH1",2948,5094
"SH3RF2",366,544
"GDF6",51,37
"UQCRB",3912,3386
"MTERF3",569,784
"PTDSS1",2751,2724
"PPP2R2B",60,61
"RPL30",5923,7114
"KCNS2",27,4
"FAM122C",145,251
"SUPV3L1",952,1433
"FAM122B",1221,2447
"EEF1A1",204216,222060
"FBXO43",3,28
"HKDC1",4,12
"HK1",7590,14568
"TYSND1",1366,2072
"PHF6",1140,1962
"CD109",5142,2478
"LRFN2",0,19
"NODAL",31,11
"PRG3",0,0
"UBE2L6",2475,2930
"ZDHHC5",6133,6347
"MED19",271,601
"ZFAND3",4741,5511
"NPTN",5436,6762
"KAT6B",2892,3586
"SAMD8",6120,1893
"RAB11FIP1",1937,18311
"UNC5D",2,3
"GLYATL2",7,585
"UTP14A",823,1211
"AIFM1",1949,3575
"MAPK13",806,6005
"BAG4",1334,999
"MS4A1",18,259
"IGKV1OR-2",0,0
"TBC1D31",238,251
"NTAQ1",288,655
"ATAD2",571,2014
"FBXO32",2005,12189
"NSMCE2",639,662
"ZNF689",649,1971
"PRR14",1209,3436
"FBRS",3142,7168
"FRRS1",603,525
"PHKG2",501,1941
"MFSD14A",52,70
"SASS6",188,322
"COX6A2",1,2
"ITGAD",40,12
"ADGRG4",21,0
"ZIC3",0,0
"MALSU1",613,746
"VPS8",2255,2224
"GALK2",697,595
"LHFPL4",1,10
"B3GNT7",579,254
"MPV17L",390,3832
"BUB1B",52,309
"PDE6D",651,740
"EIF4A2",14572,16506
"BRPF1",1459,1571
"RPUSD3",913,1055
"SST",0,1
"TATDN2",1009,1150
"GHRL",19,45
"SEC13",4076,3987
"CIBAR1P1",12,5
"EXOG",410,353
"NTAN1",1642,889
"SHCBP1L",1,3
"NMNAT2",1770,105
"ZFYVE9",2367,1243
"ATP2B2",37,50
"LYZL4",0,4
"SLC6A1",86,64
"SMG1",8278,9366
"FCHO2",3174,2535
"RBPMS",6406,6196
"TMEM171",2,21
"KLHL40",1,0
"C8A",0,0
"TIMP4",5706,412
"SYN2",2530,337
"NRG1",3,227
"ODR4",1515,3031
"CPT2",500,740
"NECAP2",3586,3010
"LRP8",230,281
"CDCP2",0,1
"PAXIP1",511,1525
"STEAP2",2227,3422
"SSBP3",3367,2739
"HTR5A",0,0
"CLDN12",783,3247
"MMP14",11056,14879
"FZD1",2042,4927
"GATAD1",2344,3568
"SUSD3",80,8542
"ZFHX2-AS1",23,70
"TMED6",14,20
"CLEC18A",4,8
"DHRS4",405,319
"C1orf158",0,2
"CLEC18C",0,1
"ARMC12",9,70
"DDX19B",635,497
"ST3GAL2",1813,737
"FCSK",725,1552
"IL34",179,420
"DHRS1",1131,1582
"CACNA1D",11,2517
"ARSL",4,56
"KIT",1601,2283
"HYDIN",10,195
"AASDH",621,971
"ZNF19",87,226
"CACNA2D3",101,35
"RNF111",1878,2014
"CCNB2",91,353
"FAM81A",34,84
"MYO1E",3322,2296
"APPL1",3445,3641
"PWWP3B",91,808
"AFAP1L1",3117,484
"TSC22D3",18377,18517
"VPS26C",2992,2663
"DYRK1A",3807,4485
"KCNJ6",2,30
"KCNJ15",470,60
"ERG",3868,1021
"ETS2",5020,3652
"TSPAN18",2961,587
"LCA5L",43,298
"SLC35B2",1484,3537
"TMEM164",3507,4713
"MX1",1841,1140
"CREB3L1",631,5422
"C2CD2",16028,1796
"TAB3",1721,2682
"SLC38A10",8169,7323
"C9orf43",18,48
"PALM2AKAP2",31170,3451
"ZNF618",1268,2198
"DGKI",715,109
"TMEM268",1421,4168
"SVOPL",3,17
"SNX22",23,228
"UBN2",1658,2352
"BRAF",2146,1929
"SLC34A2",0,969
"ACAN",91,46
"PSMG3",577,1618
"CABP1",129,29
"WDR19",1695,1947
"SLC37A3",3284,2162
"AP3S2",2024,1321
"FMNL2",5095,1025
"GAREM2",513,161
"SPPL3",3007,3455
"DPYSL5",3,0
"DRC1",3,5
"RAB28",918,806
"PRXL2B",608,2568
"TNFRSF14",1598,3335
"PANK4",922,1334
"CIB4",4,0
"MEGF11",10,24
"C12orf43",773,853
"PEX10",672,1008
"RER1",4103,4380
"RADIL",640,163
"SKI",10335,6363
"WIPI2",4132,4256
"SSX8P",0,0
"LDLRAP1",1437,3266
"AGAP1",3196,3385
"KRTCAP3",14,869
"ANKRD61",28,45
"PAFAH2",801,1949
"EXTL1",5,352
"SLC30A2",4,13
"BABAM2",1162,1412
"TRIM63",33,22
"CFAP251",98,333
"MRPL17",1263,1773
"DUSP2",48,786
"GRHL3",10,326
"UBXN11",940,2326
"NLRP14",1,1
"PTPDC1",632,498
"GALNT14",69,385
"NCK1",2097,1004
"HPD",59,34
"RHPN1",210,4493
"TPRG1L",5380,3162
"LRRC43",29,150
"PRXL2C",1590,503
"XDH",8,343
"XKR8",430,500
"CNNM4",533,2151
"EYA3",1093,1355
"DZIP1L",415,266
"TMSB15A",5,22
"FANCC",556,836
"MRAS",14602,1016
"WASF2",18465,9182
"ABHD3",785,1174
"ESYT3",8,74
"FAIM",735,472
"TENT5B",159,2029
"CLSTN2",34538,4946
"COLEC12",8854,977
"RNF207",104,878
"CUL4B",4126,5153
"GPR153",1935,1314
"SLC13A3",160,133
"GPRASP2",745,615
"RHBDL2",35,129
"AUTS2",2619,5875
"SHROOM4",2385,752
"H2BC5",24,820
"CDC25C",15,68
"H4C8",35,648
"MITD1",517,776
"EIF5B",6889,6460
"RIBC1",34,435
"TMSB15B",2,11
"CATIP",2,26
"CNOT11",1436,2726
"KCNB1",1781,108
"TSPAN33",616,490
"NRG2",245,302
"AHCYL2",1587,1993
"B4GALT5",4618,4240
"CD1D",110,105
"CD1A",3,7
"SPATA2",608,1306
"CD1C",57,277
"SNX29P1",4,11
"FAM86C1P",91,234
"CD1B",0,33
"DNAH3",18,16
"CD1E",12,250
"HMHB1",5,0
"CPA2",31,1
"NCF1",249,65
"CPA5",7,31
"TSR2",2700,2524
"PPP1R9A",590,1578
"ZC3H18",2061,2344
"ZFAND2B",1142,1052
"POM121L2",0,1
"GDPD5",4533,778
"DYNC1I1",179,53
"PFKFB1",1340,35
"ALAS2",35,4
"TMED4",3488,6840
"PPP1R15B",6380,5928
"COPG2",2072,2154
"EMSY",1323,1131
"PAGE5",0,1
"GPAT4",3126,4094
"PKD1L1",172,125
"ZSCAN12",389,416
"TAGLN2",32292,29704
"ELK4",4276,2586
"SLAMF8",165,66
"SLC45A3",177,660
"DUSP23",963,2588
"RNF166",634,765
"OR10J6P",0,0
"NBL1",8779,7094
"HTR6",3,9
"ITLN2",0,0
"F11R",3219,7384
"USF1",2079,2791
"PLA2G2F",0,7
"SPATA2L",258,824
"NIT1",1211,2196
"DEDD",1403,1515
"ZNF276",440,961
"NPM2",15,46
"EDA",424,53
"FGF17",7,15
"VWA5B1",18,19
"CDA",299,81
"PINK1",1959,852
"B4GALT3",947,4235
"DMTN",5784,885
"ADAMTS4",1684,2082
"FAM160B2",2936,5589
"NDUFS2",3942,8204
"SLC5A11",3,13
"FCER1G",4332,507
"APOA2",2,0
"TOMM40L",651,649
"MPZ",494,23
"WFDC8",0,2
"CCAR2",2880,4928
"WNT9B",125,21
"CACHD1",2319,797
"CDC42SE2",2314,2120
"RAPGEF6",402,635
"EPB41",3053,2389
"MIS18A",207,611
"ALG8",1710,1599
"FBXW5",4665,5072
"CFAP298",143,435
"SYNJ1",1558,728
"PAXBP1",1221,1924
"IFNAR2",81,25
"MRPL10",2112,1844
"IFNGR2",3727,2947
"GART",3013,4182
"SON",16643,15574
"DONSON",254,460
"SV2A",47,207
"LAD1",2,1925
"STC1",2859,743
"TNNI1",1,102
"CSRP1",12184,35143
"PRAC1",0,1
"HOXB13",0,41
"ATP5POP1",0,0
"C1QC",22645,2618
"KCNE2",1,1
"ATP5MC1",1174,2079
"RCAN1",2651,4056
"UBE2Z",4613,5547
"CIART",211,316
"SNF8",1026,1112
"CLIC6",845,18347
"CCDC24",87,1746
"RUNX1",3056,39926
"IGF2BP1",5,2
"GIP",0,0
"CBR1",1318,560
"CBR3",218,130
"AC005041.1",3,31
"TUBBP5",2,277
"GJD2",0,0
"ACTC1",65,2
"MORC3",2640,2357
"CHAF1B",131,593
"CLDN14",10,6
"SIM2",8,105
"HLCS",1289,2288
"GOLGA6A",1,0
"SCUBE1",554,2846
"ARHGAP27",1209,1898
"ADPGK",2397,3393
"PTMS",9663,9217
"PLA2G4D",0,20
"PADI4",17,1
"ADIPOR1",5140,7654
"CYB5R1",2682,4321
"PSMD4",5589,6807
"ATP13A2",1966,3768
"M1AP",167,158
"PSMB4",6173,9387
"IRX6",1358,44
"BTG2",9930,24260
"CES5A",0,2
"HK2",8560,5213
"C1R",33907,7806
"CELF3",3,18
"ALDH4A1",5545,3059
"STARD9",4711,575
"THEM4",1051,1526
"TCHH",123,19
"LCE2B",0,0
"UBR1",3400,3003
"AMFR",6080,5975
"MED8",1384,1067
"TGM7",3,3
"RGL4",18,10
"SPRR2G",9,0
"PGLYRP3",0,2
"ISL2",0,1
"RSPRY1",1383,2061
"CCDC17",75,36
"GPBP1L1",5642,6170
"NAE1",1490,2084
"TMEM69",823,1458
"ADGRG5",31,115
"DRC7",1,3
"ACE",2918,501
"TEPP",3,30
"UROC1",3,11
"EFCAB14",13805,8187
"SPON2",2236,4028
"CHCHD6",334,522
"CTBP1",3192,4330
"LRRC36",16,20
"ANKRD18CP",0,10
"TPPP3",9619,326
"ZDHHC1",850,1053
"ATP6V0D1",4436,4554
"AGRP",0,3
"ZFYVE28",570,687
"CARMIL2",43,123
"C16orf86",178,110
"PIP",1,10377
"FAM131B",98,894
"RGS12",1559,3686
"PSKH1",2028,1616
"ZYX",9427,19760
"ABR",5566,6285
"TCAF2P1",5,4
"LYPD5",34,127
"CCDC117",1488,1304
"ZNF230",276,199
"CCDC107",265,105
"ZNF222",104,90
"NPR2",2053,362
"ZNF890P",7,3
"ZNF221",96,45
"ZNF233",26,110
"ZNF235",237,212
"GNE",2784,1368
"TNFRSF13C",2,112
"OR3A3",1,1
"ARHGAP35",8285,8065
"PTGIR",267,93
"CALM3",8801,6941
"DFFA",2137,2116
"CCDC28B",100,224
"IQCC",106,299
"TMEM234",187,472
"BSDC1",5255,7817
"ZBTB8A",565,609
"ATAD3B",471,2068
"SSU72",5252,5427
"UBE2J2",1521,2836
"ZNF362",1854,2693
"FNDC5",547,37
"CPAMD8",486,627
"NR2F6",719,2670
"ANKLE1",17,35
"CCDC58",249,536
"VMA21",1708,2110
"KALRN",2614,598
"CILP2",106,412
"FAM86C2P",95,435
"ABCG1",1729,1737
"TFF3",127,40487
"TFF2",0,21
"TFF1",0,29137
"TMPRSS3",0,2083
"UBASH3A",30,55
"RSPH1",3,411
"SLC37A1",386,3555
"PDE9A",649,392
"WDR4",282,667
"NDUFV3",2297,1800
"PKNOX1",959,1153
"CBS",3,10
"U2AF1",73,120
"CRYAA",0,0
"HSF2BP",5,89
"RRP1B",1912,2142
"PDXK",9894,5259
"G6PD",2842,3638
"CSTB",6387,4333
"RRP1",833,1982
"AGPAT3",5720,6460
"TRAPPC10",2192,1686
"GAB3",859,179
"GATD3A",128,151
"ICOSLG",38,145
"AIRE",6,3
"CFAP410",216,423
"ZNF66",48,230
"LRRC3",549,216
"ITGB2",8941,2271
"FAM207A",276,594
"RALGDS",544,607
"FTCD",0,29
"SPATC1L",0,366
"LSS",5692,2513
"VAV2",1263,3366
"MCM3AP",3187,3593
"C21orf58",70,591
"PCNT",2674,2730
"DIP2A",2350,3456
"S100B",3029,277
"PRMT2",4551,4887
"CLDND2",55,12
"ZNF208",140,116
"ADAMTS13",130,767
"CACFD1",290,3291
"SLC2A6",170,248
"ZNF761",669,1408
"FCN2",9,192
"C9orf116",48,578
"LCN1",0,2
"ZNF714",242,741
"GPSM1",409,1587
"C19orf47",505,1044
"HIPK4",11,11
"CFAP157",30,507
"TOR2A",356,1121
"ST6GALNAC6",16,9
"SHKBP1",2200,3184
"RDH13",287,1618
"ZER1",4189,5245
"ZDHHC12",671,1527
"PKN3",1060,614
"SPTBN4",296,320
"BRSK1",22,446
"COX6B2",4,71
