"","00063026-2a67-41de-b105-f80dca277978","00a26384-1b1c-4db4-9664-75fb9b3febdb"
"WDR72",0.0088,5.5492
"CRABP1",0.4744,24.7572
"PLD4",0.8286,14.4228
"ZMAT1",10.8404,42.4445
"XRRA1",2.0448,7.8195
"TRIM66",4.6072,11.1266
"RNF169",10.8884,11.1769
"RPL27A",163.8138,277.9695
"DENND2B",7.6619,19.0941
"CDYL2",8.2492,19.5504
"TMEM130",0.5555,5.2311
"PRTG",0.6065,2.5136
"CENPN",1.764,4.8531
"AKIP1",20.8704,29.7262
"ATMIN",56.3866,51.0381
"C16orf46",0,0
"TMEM41B",12.5678,39.3077
"PKD1L2",3.3691,1.044
"LEO1",21.1678,79.8625
"ZNF143",16.4884,17.4834
"TMX3",38.2064,29.1248
"MFAP4",1563.4372,130.5721
"WEE1",6.943,45.9354
"MAPK7",16.0684,20.0466
"FAM86GP",3.5144,1.9304
"PRKCB",4.6808,1.8338
"HDGFL3",10.4601,20.3658
"NDST2",0.2118,0.2685
"MCM7",47.6329,112.1094
"CLEC3A",0,196.7976
"CCDC68",2.541,1.7215
"CLEC4E",2.053,3.3603
"ZNF3",14.4003,43.723
"CLEC4D",0.4069,0.1306
"ZSCAN21",8.709,13.4593
"HSBP1P2",0.3311,0
"RIMKLB",34.4981,23.0174
"A2ML1",0.2013,0.5363
"BEAN1",0.7705,1.1004
"TK2",32.6022,11.7063
"TMED3",4.9219,32.2118
"SLC38A8",0,0.269
"SEC11C",13.2587,27.18
"CPLX4",0,0
"GALR1",0.2274,0
"TMEM135",24.6215,22.3406
"IQCD",1.6338,8.0911
"NDEL1",28.48,28.2263
"CENPV",8.5145,6.9213
"CDH16",0.0211,0
"RRAD",8.3837,11.3173
"CIAO2B",101.6582,111.2333
"CFAP52",0.0989,0.9025
"HSP90B1",375.4628,385.807
"MC4R",0,0.0521
"BLCAP",66.0702,45.768
"SERPINB12",0,0
"CHRFAM7A",0.0751,0.1327
"ATF7IP2",2.6579,7.9326
"MMP10",0.0431,4.6683
"TVP23A",0.2759,0.8196
"BEX3",132.5702,292.7312
"TMPRSS5",1.0813,1.4067
"COG1",24.4027,24.2907
"PLEKHA7",8.676,18.5862
"OR5M13P",0,0
"ZNF606",4.4894,9.2588
"ZCCHC18",0.5377,1.0811
"B2M",2160.9915,667.8093
"ZNF592",41.4717,44.0941
"GOLM2",61.0074,59.5083
"HTR3A",0.0547,0.2254
"NNMT",255.715,213.9259
"ACSM1",0.0792,13.5547
"AP1G1",34.9257,44.815
"SLFN5",55.5848,40.3467
"CATSPER2",0.9745,5.5254
"STRCP1",0.0399,0.5015
"ZNF667-AS1",2.5236,2.4936
"BMERB1",43.1907,86.4319
"MARF1",46.274,51.0935
"SAA3P",0,0.1367
"SAAL1",8.6072,17.2923
"YPEL4",2.2784,0.8405
"PPIB",120.5483,180.1699
"LDHC",0.1815,0.1709
"CIAO2A",33.2521,78.5533
"LDHAL6A",0.2345,0.345
"FAM111A",19.8586,49.8504
"PCLAF",0.2476,4.2989
"KIF7",10.7942,6.0822
"LDHD",24.6263,7.8401
"PLIN1",2640.0435,6.2326
"PEX11A",53.5442,41.2926
"TMEM170A",12.6433,13.5999
"MESP1",8.7068,1.9215
"ANPEP",67.146,52.0395
"SCNN1G",1.0032,6.9824
"RBPMS2",42.7818,6.2785
"NAV2",5.8371,23.3287
"ANKDD1A",16.2272,4.5577
"GLYATL1",0.0697,6.284
"C18orf54",2.935,1.4165
"DCTN5",21.0104,30.1485
"TERF2IP",54.3791,48.2007
"PLK1",1.7206,7.013
"CLPX",33.7989,47.4148
"GPR182",0.5336,0.1832
"ZBTB39",7.6703,8.7576
"CACNG2",0.0585,0
"TAC3",0.0965,0.0568
"MYO1A",0.7668,0.1805
"CHP2",0,0.0454
"NEMP1",12.7843,21.8701
"OR4D6",0,0.0847
"NAB2",25.4188,96.182
"VPS39",57.2945,59.939
"STAT6",151.8413,143.3381
"PATL1",47.721,45.1943
"ATP23",10.1657,7.0021
"ELFN2",0.069,0.5381
"STX3",13.4481,36.3229
"MRPL16",46.6446,55.5591
"PIP4K2C",25.8598,141.2027
"MTMR10",34.6299,19.4812
"YWHAB",165.475,179.8217
"MIR202HG",0.058,0.2732
"C15orf48",0.6716,4.084
"SCG5",0.5525,6.6658
"GREM1",0.6719,8.8326
"NYAP1",1.0987,1.7409
"TSC22D4",34.1742,94.3419
"MS4A6E",6.0264,0
"MS4A7",103.7218,61.6268
"MS4A14",7.9505,3.8768
"MS4A5",0,0
"DIS3L",40.762,35.3511
"CCNDBP1",45.864,32.8591
"EPB42",3.5433,0.0304
"TGM6",0,0
"SMAD3",51.1076,29.5416
"MS4A8",0,2.6415
"CCDC178",2.0674,0.3191
"MS4A15",0.0665,7.7444
"MAP1A",37.4033,4.0662
"RCCD1",5.9213,12.5738
"AKTIP",21.5162,19.6209
"MAPRE2",34.3816,14.9827
"EVA1C",16.3232,24.7079
"TCP10L2",0,0
"MARS1",38.8873,61.3287
"MBD6",25.7225,105.3723
"CNPY4",22.462,22.2139
"PDIA3",240.5758,369.7119
"NUDT21",54.1952,63.1265
"NAT16",0,0.023
"TERB2",0,0
"NKX3-1",3.5163,19.1419
"SGSM1",0.9251,2.4992
"AL357033.1",0.2746,0.0462
"DUSP18",4.1949,3.9139
"TEF",77.3483,21.9629
"MEI1",0.7219,1.5472
"B4GALNT2",0,1.6534
"PBX3",20.9838,12.0853
"GNGT2",2.2,1.8496
"PHB",33.6373,48.0932
"SNRPD1",15.5813,29.7582
"TTC16",0.0478,0.9141
"SUN5",0,0
"SAMD14",0.4159,0.93
"PIP5KL1",0.4559,7.324
"BPIFB6",0,0.3195
"TMEM92",0.1734,0.8162
"FAM102A",16.694,188.5066
"ACSF2",36.4838,49.2241
"GOLGA2",65.0801,87.6277
"TRUB2",13.0288,29.5072
"COQ4",19.8022,70.1643
"SLC27A4",34.4287,75.4628
"ANKRD40CL",0,0.0244
"URM1",40.6592,56.3368
"CERCAM",42.3029,85.6765
"DOLPP1",16.2304,42.2351
"CCDC103",0,0
"ENDOG",3.9737,10.4457
"TBC1D21",0,0
"PRRX2",27.2531,23.5281
"UGT1A6",0,0
"C15orf39",27.8674,45.1276
"ISLR2",2.957,2.015
"SP2",36.1047,57.4455
"PRR15L",0.199,216.0537
"COQ7",16.7182,36.9418
"GPRC5B",57.3472,15.976
"CRK",133.3783,98.0192
"C16orf92",0,0.3202
"GOLGA6C",0,0
"FBXO22",4.869,14.5123
"TBC1D2B",60.9191,23.3403
"NOD2",1.9529,5.1556
"SNX20",3.4158,1.6454
"LOXHD1",1.4734,0.155
"KATNAL2",3.71,4.6466
"HDHD2",0.6321,1.5261
"ZNF91",5.7088,20.1493
"IGF2",5.8761,1.8824
"RNF214",15.5381,18.6938
"CDK12",20.326,29.3105
"DPEP2",8.91,2.2965
"DUS2",6.8476,10.0694
"POP5",24.4879,37.5556
"ENGASE",15.2316,25.0962
"RBFOX3",0.0768,0.0362
"ATP5MG",15.2909,21.8717
"CD3D",5.2264,12.071
"TBC1D16",110.4706,52.8954
"TEPSIN",4.7455,10.4776
"MYO5B",3.7033,38.85
"ART5",0.3039,2.3849
"ACAA2",103.5758,25.253
"STIM1",69.4403,42.525
"RRM1",43.8369,62.4772
"OR51E2",0.8348,0.0307
"TRIM68",14.6352,15.3796
"MMP26",0,0
"OR51B5",0.0191,0.09
"OR51I1",0,0.0945
"OR51Q1",0,0
"FN3K",13.0841,20.0599
"PRRT2",1.9791,7.7252
"ZNF23",0.2186,0.6494
"IRGQ",8.0297,16.0985
"ZNF226",5.7734,12.0564
"ZNF180",7.2138,9.8157
"POM121L3P",0,0
"PPP2R3B",2.5319,12.2166
"ZNF668",5.7636,8.15
"ZNF646",15.4563,25.5003
"VKORC1",13.6083,6.7655
"GNG8",0,1.6529
"LPO",0,0.1249
"CA4",86.1816,0.849
"SMG8",17.4018,19.8638
"LINC00905",0,0.0247
"TPM4",159.0487,271.5839
"RAB8A",12.6874,18.4087
"GPX4",964.4488,522.1859
"MIDN",54.5446,250.4815
"JSRP1",0,1.7851
"NIBAN3",0.1645,1.252
"KLHL26",10.4861,19.1908
"GATAD2A",35.5984,66.1836
"NOS2P2",0,0.0452
"MVD",11.9448,31.5812
"CDT1",1.2089,15.4258
"TRAPPC2L",18.5715,19.7591
"ANKRD11",21.9027,24.8612
"SPATA33",1.854,7.9605
"RSKR",1.4345,2.7245
"PROCA1",1.5733,1.2874
"RPL13",401.464,855.9907
"ZNF641",15.8586,16.0413
"LALBA",0,0
"CACNB3",5.0781,47.0051
"DHRS13",0.6422,3.1143
"TP53I13",28.0098,36.679
"KMT2D",27.7133,33.6693
"CORO6",6.002,14.9139
"RHEBL1",2.5686,1.9239
"TUBA1A",270.1377,305.4031
"TUBA1C",25.6407,44.5078
"ZNF610",2.0091,11.4463
"ZNF528",6.9609,14.7853
"ZNF701",4.3703,9.7177
"SERTAD3",45.7538,114.3715
"NCKAP5L",23.3871,22.9374
"RAB4B",0.5974,1.5651
"AQP2",0,0.0415
"GPD1",1554.5029,3.4563
"PROSER3",4.4706,15.7295
"CYP2S1",12.9695,3.1254
"AXL",179.8322,35.0314
"NFKBID",6.0704,9.6848
"TMC4",1.4612,302.6313
"ANKRD33",0.0408,0.144
"LAIR1",39.847,8.4711
"TTYH1",1.2975,2.5242
"LENG8",98.6831,297.2528
"CDC42EP5",21.817,32.1704
"LAIR2",0.5085,0.0855
"TMEM145",0,0.9904
"ZNF526",10.8639,11.099
"TRAPPC9",14.6481,24.535
"KIR3DL1",0.5674,0
"NLRP7",0.0581,0.0228
"ZNF146",56.7232,107.2452
"ZNF283",3.0649,4.2521
"PPP1R14A",68.1544,40.5428
"SPINT2",2.3264,179.4777
"C19orf33",0,0
"YIF1B",13.4067,31.6356
"DNAAF3",0.0919,12.7316
"PSCA",0.6022,0.7088
"ATCAY",0.0143,0.0337
"LY6D",0.1012,1.9067
"DAPK3",38.6106,118.5052
"EEF2",1846.0199,3603.6523
"TMIGD2",0.3004,0.6365
"CHAF1A",11.1487,20.1373
"UBXN6",77.6822,110.1285
"HDGFL2",23.0186,64.87
"PLIN4",4999.5677,9.472
"SEMA6B",32.6353,34.1485
"ZNF444",7.8455,29.0148
"NXN",10.7136,27.5089
"TLCD3A",13.8305,11.2549
"GLOD4",31.034,49.7974
"MFSD3",11.4973,92.7248
"GPT",12.0517,26.2975
"KIFC2",4.5189,44.7184
"SLC43A2",19.3281,17.2368
"RILP",40.6416,9.1521
"SERPINF2",4.2039,49.6333
"WDR81",29.2882,37.42
"SRR",5.853,8.6457
"TSR1",24.7932,39.8325
"TRPV3",1.0983,0.3906
"HSD11B1L",2.3072,8.5048
"CYB5D2",57.5172,52.3183
"GGT6",0.024,98.5742
"C19orf48",11.6217,63.8993
"KLK1",0.7328,0.8251
"KLK4",0.1568,1.7528
"KLK2",0.0119,0.1265
"KLK5",0,29.3741
"KLK6",0,6.0076
"KLK11",0,1.4336
"KLK13",0.0293,0.3105
"ZNF83",21.6218,41.8597
"KRT80",0.1043,97.8872
"KRT1",0.6096,2.2242
"ACER1",0.1062,0.25
"OTUB1",29.3751,71.8097
"RCOR2",0.9948,4.3325
"ANGPTL4",396.6566,18.3922
"AC010323.1",0.1307,0.1539
"CD320",53.0061,34.4257
"SPRYD3",165.942,100.571
"IGFBP6",625.3067,35.0128
"SOAT2",0.6219,0.6458
"ZNF558",7.4533,12.7821
"CABP2",0,0
"NDUFV1",61.8115,96.5809
"CDK2AP2",53.4469,75.0211
"C3P1",0,0.054
"NUDT8",9.5174,12.1658
"TBX10",0.049,1.2108
"AC011511.1",0,0.0427
"PRDX2",122.9945,244.8619
"OR8J3",0,0
"OR5I1",0,0
"ZNF232",7.2738,14.7908
"MIS12",20.9217,26.8871
"CD300C",17.316,2.167
"CD300A",20.3548,7.8318
"TEKT1",0.0986,0.0696
"HID1",13.9991,142.13
"MRPL58",38.5321,82.3283
"ATP5PD",73.1332,63.0953
"TMEM88",27.8515,13.2761
"EVPL",0.8856,44.8947
"SRP68",44.1959,45.5617
"MGAT5B",0.5183,0.915
"TMC8",7.6124,10.6113
"TK1",7.6449,58.3914
"TMEM68",4.8821,9.0672
"CYP7A1",0.369,0
"AC090152.1",0.3131,0.8292
"GSDMA",11.4897,3.6196
"KRT24",0.4027,0.1896
"TMEM99",10.01,26.7213
"GHDC",34.6991,47.4819
"FAM234A",71.7761,108.0477
"SOST",0.033,0
"ZNF598",16.5414,65.8546
"RAB26",0.061,23.9643
"MLST8",18.0363,51.9364
"E4F1",10.3634,53.0674
"DNASE1L2",0.2074,5.4921
"ECI1",27.0052,84.9939
"CASKIN1",0.0508,3.2449
"ABCA3",30.4145,116.5568
"KCTD5",22.4663,63.8187
"SRRM2",214.5922,504.25
"ZNF597",4.5364,6.8208
"NLRC3",2.8796,3.3493
"SDHAF2",12.2512,16.2619
"DDB1",73.1612,93.1132
"VPS37C",24.53,86.5042
"VWCE",2.0525,0.9177
"RAB3IL1",50.6182,15.7758
"BEST1",5.4203,2.3732
"FTH1",143.1884,199.4901
"BSCL2",0.9945,1.8909
"POLR2G",64.9877,103.1936
"SLC3A2",83.7922,178.0966
"PLAAT5",126.7894,3.7418
"SPINDOC",11.2211,30.3282
"ATG16L2",8.7057,29.7765
"C2CD3",9.2384,16.2503
"TRANK1",15.0927,10.2835
"TTC21A",1.9163,7.127
"RPSA",168.7943,378.8762
"ENTPD3",3.1297,3.4348
"CTNNB1",116.6343,187.2109
"ULK4",5.954,8.5006
"FADD",4.7506,10.8173
"LTBP3",73.2892,106.0204
"NAALADL1",5.2453,3.6823
"SAC3D1",11.5118,19.7451
"BATF2",4.391,1.6805
"SLC22A11",0.0294,0.5191
"SF1",135.6398,219.8074
"MAP4K2",8.6694,14.5822
"MAJIN",0.0653,0.3073
"CCDC88B",5.9122,9.3211
"SCARA3",61.0573,32.8978
"PBK",1.0944,7.6042
"SCARA5",508.3881,5.5428
"PNOC",0,0.7625
"COPS6",92.4505,131.652
"PAFAH1B2",55.3006,71.1126
"ANKS3",4.5395,23.9136
"NUDT16L1",18.3714,122.9646
"KIAA1586",10.7321,9.072
"RAB4A",39.9552,85.9124
"ZNF355P",0,0
"OR1F1",0,0
"OR2W6P",0,0
"DHFRP3",0,0
"OR2B2",0,0
"KCNJ4",0,0
"SETD5",35.9557,51.3991
"VASN",65.2761,36.9259
"FAM83B",0,2.3157
"H3-4",0,0.5189
"THAP9",4.1837,5.0274
"OR2C1",0.8022,0.6295
"RNF187",99.1464,253.2438
"HOOK3",26.4208,19.0853
"MAPK1IP1L",44.4512,47.5205
"DDIT4",37.6577,302.4888
"RBPJ",87.6255,33.9642
"LMBRD1",33.8162,18.3895
"ZCCHC4",8.2864,9.2676
"PTGDR",2.6372,1.1128
"TTC39C",12.4594,17.3347
"GLYCTK",5.6155,3.1651
"GNG4",0.511,0.6702
"UBTD2",50.0981,67.7188
"POLR2J3",0.6656,3.8892
"NKIRAS2",26.8729,34.0123
"DNAJC7",13.8202,18.5628
"KCNV2",0,0.2459
"IRF2BP2",91.917,199.088
"PTF1A",0,0
"NT5DC2",15.8649,27.0614
"FOXI1",0,9.3063
"SMIM4",7.519,10.6129
"COA6",11.0036,29.2579
"KIF5C",0.2127,3.1178
"MGAT2",0.3957,0.4657
"BMI1",25.8641,65.9419
"THAP11",32.4187,33.3521
"MMADHC",107.7172,131.1027
"PDHB",31.4293,41.5721
"PXK",26.906,13.3509
"H1-4",1.5417,1.7012
"PCMTD1",58.8288,44.5732
"KCTD6",10.7138,17.7297
"MPLKIP",6.7709,12.7793
"ACOX2",22.5335,30.9116
"FAM107A",73.0818,13.2014
"IRF2",51.9958,56.6936
"MOBP",0.041,0.058
"CX3CR1",4.9988,5.5663
"PPDPFL",0.221,0
"XIRP1",0.0469,0.3864
"INSM2",0,0.0309
"DEGS2",0.3265,61.7197
"SCN11A",1.1754,0.2567
"LINC00917",0,0
"ARF4",263.6744,314.7525
"SEPTIN2",289.7004,256.5418
"FILIP1L",110.4791,25.9921
"MFSD2A",1.4194,26.2846
"DTYMK",22.2534,45.9489
"TAP1",33.079,37.8387
"ING5",7.0961,16.7654
"ATG4B",18.6782,61.6913
"BDKRB2",25.3808,7.7455
"MLKL",13.9754,5.3629
"CMAHP",8.4179,19.3948
"RFWD3",13.7546,23.738
"MTNR1A",0,0
"KCNG4",0,0
"RHOH",0.6886,10.7518
"KLHL30",6.7005,0.3306
"COG7",13.7481,58.5128
"CDC40",16.7455,18.6006
"STIP1",79.8044,108.7718
"SCNN1B",24.0334,4.1397
"HR",8.2364,10.6583
"TXNDC2",0.1788,0.1053
"RAB31",97.3384,106.9411
"REEP4",18.7071,48.6064
"TNXB",509.4717,10.7159
"LGI3",0.1345,0.0792
"SFTPC",0,0.056
"BMP1",32.3739,21.0542
"ATXN2L",45.9328,118.7842
"PHYHIP",5.768,4.1551
"CCDC110",0.4935,3.2328
"POLR3D",17.9564,20.6554
"FEN1",15.8703,39.5927
"CAVIN2",268.5417,44.6281
"MTCL1",0.8083,6.7092
"GBX2",0,0.1531
"HJV",0,0.0738
"SCGB1D1",0,0
"HEXIM2",2.7163,5.5183
"FNTA",19.4665,16.3579
"SERINC2",11.5989,277.7231
"MYL1",0,0
"TRAPPC11",33.7422,40.953
"CHRM1",0.0233,3.1858
"COL3A1",1827.0672,1383.8926
"GFRA2",27.7234,0.6489
"ING2",11.4804,21.5937
"CDKN2AIP",22.8158,39.5039
"SNRNP48",10.4453,12.3402
"TMEM223",12.622,24.5504
"SLC20A2",20.9058,55.0765
"CRYGA",0,0.287
"DYNLRB2",0.5127,8.7506
"TMUB2",38.3557,62.9534
"ADAM29",0,0.03
"STAT3",116.3533,173.7182
"ZSWIM1",14.9529,21.2422
"ADAM9",40.9359,14.908
"ADAM18",0,0
"GDNF",0.0328,0.0579
"SPINT5P",0,0
"MUCL3",0,0.0314
"WFDC13",0.337,0.1322
"AXIN2",10.7648,8.2818
"NDUFS5",515.3276,673.6557
"VWA3B",0.1095,0.0752
"ZNF30",7.0722,8.9744
"UGT3A2",0,0.1331
"LRATD2",21.1071,74.8263
"LDLRAD4",6.2218,14.7285
"KCTD19",0.1336,0.0726
"SLC16A4",7.0703,28.6895
"IL7R",5.9079,15.0342
"TMEM208",35.0093,51.8455
"LRP1B",1.0989,0.2838
"WFDC12",0,0
"AHCYL1",213.204,201.3094
"DNAJC21",20.7515,20.5767
"PKIG",63.1936,58.4906
"NPNT",14.2085,21.602
"LINC01620",0.0441,0
"CA7",0,0.1954
"FAM178B",2.6615,3.1832
"TSPY2",0,0
"SEMA4C",21.6456,71.1456
"CNNM3",19.0901,29.9593
"GSTM4",16.2337,31.1703
"TET2",7.052,9.0751
"CXXC4",1.2372,3.8627
"TCTN2",8.5315,27.5711
"SHOX2",8.2476,7.8907
"PPIP5K1",6.4516,17.2212
"TSPAN5",1.4323,31.0927
"ABHD15",53.378,17.9177
"ZBTB5",11.1081,24.8737
"CHTF8",0.6278,0.8181
"ADAL",9.3369,5.6349
"LCMT2",7.4476,15.7942
"SNTB2",35.3475,13.6302
"IL12A",0.2327,0.5479
"ZNF507",11.2139,11.2136
"STX18",16.5161,30.553
"NSG1",0.592,6.9068
"ZBTB49",6.1947,12.2036
"GFM1",17.5671,34.6304
"OR13J1",0.1699,0.5999
"HTR1E",0,0.0978
"FSTL5",0,0.0168
"TPTE2P5",0.7105,2.7983
"DDX19A",5.7307,5.4825
"ATOH8",30.5336,5.2233
"SOX14",0,0
"ANKRD49",14.4682,23.3062
"SFTPB",0.0554,0.1086
"USP39",40.0551,58.2547
"TNIP2",46.5803,72.2934
"C2orf68",21.0682,31.7379
"TMEM150A",20.5078,34.3759
"RNF181",124.9647,144.9139
"VAMP5",147.729,61.5754
"BTNL3",0.3731,0.0732
"LRRC28",6.7586,6.4064
"MAT2A",105.5227,222.4736
"PLA2G4F",0.0124,9.1406
"ENHO",2.8769,4.3413
"ZNF608",7.7782,23.7002
"SLC35G2",20.5383,2.4799
"INPP5D",18.4056,11.094
"LETM1",24.1187,46.343
"CTRB1",0,0.0406
"CTRB2",0.0655,0.0771
"TRIM49",0,0
"TMEM129",53.4704,75.3569
"PPIC",76.8522,58.4323
"SPRY3",1.9603,1.7072
"CEP120",11.7919,8.2618
"STXBP6",7.4168,0.7524
"TM4SF20",0.0791,0.031
"MFF",30.4932,36.5152
"GRM5",0,0.0516
"LGALS9",34.7443,17.2451
"PMCHL1",0,0
"JMJD7-PLA2G4B",1.5915,4.1097
"OR7E102P",0.0747,1.9346
"CPLX1",5.2298,47.6109
"PXDC1",185.3172,92.3126
"SIGLEC7",3.8974,1.1359
"NTSR2",0.0474,0.0558
"E2F6",12.5113,13.3654
"FEM1B",50.0211,70.6416
"COMMD8",21.4384,24.7257
"ATP5ME",21.8872,17.5256
"UQCRFS1",61.2605,60.5067
"SLC49A3",18.1458,84.1692
"COL4A3",0.0418,1.0339
"MAP2K1",99.4166,48.3083
"KLK7",0,16.6626
"PMCHL2",0,0.344
"HNRNPH1",89.031,207.7841
"IRS1",18.1105,66.3256
"MECP2",19.3462,19.2193
"VCX3A",0.0762,0.2691
"UPF3A",25.6156,38.3545
"ZBBX",0,0.1955
"ACTBL2",0,0.4153
"ROR2",1.2123,22.6024
"BRD7P3",0.1027,0
"AR",27.4802,105.3972
"DHRSX",20.2122,28.809
"VXN",0.0318,0.4686
"HSPBAP1",8.1891,5.1964
"ASMTL",27.015,54.2258
"SLC25A6",815.3561,1713.7981
"CHST14",39.4328,70.0507
"PARM1",78.0467,26.8265
"CSNK1G1",7.9475,17.6693
"FAM110B",7.7167,16.3417
"ARMC4",0.0959,0.3244
"AFAP1L2",14.1997,29.5413
"ZNF354A",10.6226,21.8953
"ATF5",43.108,37.3444
"UBE2V2",25.8642,28.8312
"GOT1L1",0.0479,0
"ZBTB43",9.4629,19.5295
"AL159987.1",0,0
"CPT1C",2.1208,3.7139
"PCSK9",0.2523,0.7502
"XPO6",44.7446,88.7166
"GSG1L",0.0559,0.0658
"MN1",13.0854,12.7525
"APEX2",20.2516,58.3926
"NSMCE1",31.3049,63.2777
"CCDC126",9.2358,12.0786
"IL13",0.0525,0
"NPIPB12",0.2451,0.2061
"OR10G3",0,0
"RAB3B",0.0059,1.6203
"OR6F1",0,0.2026
"CD2BP2",55.6948,110.0737
"RSPO1",0.0248,2.9188
"RGS14",8.4326,25.9698
"TBC1D10B",29.8448,55.6482
"LMAN2",142.6053,313.5904
"GCSAML",1.8958,0.4005
"RAB24",2.0565,12.1457
"PRELID1",21.1424,36.8667
"THBS3",27.3935,32.2813
"CA5B",11.0963,7.1116
"SLC50A1",32.407,146.7005
"EFNA1",66.165,376.566
"CXCL10",6.5184,8.052
"NPIPB3",1.3343,1.703
"SH3TC2",0.1592,0.4239
"CXCL11",2.1289,0.9522
"ZRSR2",26.0685,46.0677
"NMD3",40.338,56.8643
"ADRB2",76.8494,9.0453
"AL669983.1",0,0.2807
"B3GALNT1",4.1331,22.5653
"GPRIN1",1.2716,7.8421
"HSPB3",0.335,0
"KCNAB1",23.5767,1.2429
"MRPL1",31.1155,40.4065
"SHE",27.6866,2.7982
"NR0B1",0.3801,0
"PGM2",21.6752,71.0748
"STK32A",0.9101,0.7329
"IL1RAPL1",0.2726,0.1234
"P2RY12",14.5694,3.5901
"C22orf15",0.1074,0.2949
"GUSBP12",0,0
"OR5AU1",0,0.0212
"MINAR1",0.7698,2.195
"PDILT",0,0
"UMOD",0,3.0895
"GP2",0,148.8852
"SLC33A1",4.4336,6.3475
"SNUPN",8.4114,14.3683
"CRADD",7.2534,10.5621
"SIN3A",22.2205,42.2951
"ARL13B",11.5096,16.1836
"RNASE2",1.4745,1.6116
"ELSPBP1",0,0
"RNASE3",0,0.4959
"PTK2",32.144,35.1322
"RSPH10B2",0,0.0358
"PTAFR",48.5485,22.9928
"PTPN9",19.4442,36.8138
"RNASE6",111.4124,46.3201
"NPR1",201.2037,7.9307
"KCNK9",0.0112,0.0921
"CXCL8",6.8415,8.7303
"SCN9A",6.1064,0.4928
"RASSF6",0.0572,22.9535
"COL22A1",0.646,0.976
"SDC2",299.9498,81.1479
"CD52",64.0596,26.3755
"MMGT1",56.6815,31.3041
"SPRR1B",0,2.0187
"SPRR1A",0,2.6446
"OR4K14",0,0
"OR4K15",0,0
"TM2D2",29.5122,36.6685
"HTRA4",0.4851,0.9224
"PLEKHA2",33.0029,12.9483
"CLIC4",336.7552,170.1601
"SLC38A11",0.7239,1.1575
"GPR183",64.3562,23.731
"CRCT1",0,0.1243
"CCDC8",7.2645,30.506
"METTL15",4.0266,8.0902
"ZNF280A",0.2118,0
"MUC15",0,1.3686
"CT55",0.0439,0
"ZEB2",51.9857,3.0184
"GJB1",0,7.2111
"PCBP1",9.2211,12.5072
"HINT1",47.4298,76.7041
"DTWD2",7.0055,13.9658
"VPREB1",0,0
"CLIC3",2.6608,15.2905
"INO80E",17.5266,65.2967
"BNC1",0.5219,2.2151
"DFFB",4.8203,9.5945
"NFU1",82.1586,45.8448
"ANTXR1",111.1447,74.7509
"GKN1",0.1313,0
"CKAP2L",0.569,2.0256
"C15orf40",4.523,7.0383
"RAMAC",4.2641,9.8667
"PROKR1",1.309,0.1666
"APLF",3.204,2.3053
"BOLA2B",0.3883,1.1753
"RGPD8",0.6342,0.5599
"HIC2",5.3748,3.0769
"LUZP1",32.3964,18.8068
"HEXD",12.2073,55.4485
"BCRP6",0,0.4237
"BCRP2",0,0.7702
"DRD5",0.0319,0
"BUB1",1.0826,5.621
"SPNS1",0.5599,1.9537
"LRRC45",10.0184,47.8857
"CHRNA5",0.3768,0.3942
"MT1B",0,0
"CENPX",31.0065,111.2932
"AGPAT2",613.0744,87.3073
"ASPSCR1",5.2908,17.2359
"GP9",0.1729,0.1018
"FASN",224.381,3426.6175
"CNBP",339.4258,307.316
"MT1E",66.1731,238.8365
"ACTRT2",0,0
"DUS1L",28.1258,86.3697
"GPS1",44.7355,76.7994
"RFNG",30.3329,48.1036
"DCXR",60.7385,286.5316
"ZNF32",46.1227,55.3266
"LDB2",39.2993,10.2755
"RAC3",17.2463,46.961
"NRG4",0.0755,0.6934
"LIMS1",58.0916,30.0124
"TMEM266",0.7371,2.3077
"NLGN1",1.8233,0.1935
"TAPT1",15.5027,22.5614
"PRYP3",0,0
"UGP2",201.2555,63.9159
"TAS2R1",0,0
"LINGO1",1.8801,27.1088
"PRY",0,0
"RBMY1F",0,0
"PRY2",0,0
"RBMY1HP",0,0
"HNRNPF",171.4794,485.1879
"BTD",24.7232,12.9894
"CSGALNACT2",50.575,33.2132
"TACR3",0,0.1832
"GSX1",0,0
"TSPY14P",0,0
"PCDH7",0.7986,3.4904
"ROBO1",29.8488,11.8884
"ONECUT1",0,0
"AVEN",13.9547,9.8059
"P2RY1",3.8463,0.7215
"CTNND2",0.7197,10.8777
"TRIM56",44.596,39.8369
"MUC17",0,0.0061
"AHSP",0.1442,0
"WNT10B",18.7175,0.652
"CALML6",0.0743,3.369
"REPS2",4.1341,20.0543
"MUC3A",2.5286,0.1801
"SYAP1",37.6336,115.8584
"ITGAM",79.9786,13.0557
"PYDC1",0.119,8.4072
"TPST1",33.3338,14.3192
"TM4SF4",0.1487,0.0583
"TOR1AIP2",12.0522,14.7767
"S100G",0,0.1962
"TM4SF1",137.7132,340.68
"OTUD3",7.0711,13.6769
"OTUD7A",1.601,1.1878
"GUSB",90.7923,146.1847
"BRD3",22.2265,47.4218
"KLF13",76.4757,42.1527
"FRMPD4",0.2665,0.009
"ZFPM2",15.8912,1.2107
"ZNF764",8.6767,28.6969
"HSFY2",0,0
"ZNF747",9.4598,17.3024
"ZNF768",42.7017,152.5907
"TAS1R3",0.3273,8.1679
